domain,page,website,IXOprice,currentPrice,ROI,discord_urls,twitter_urls,telegram_urls,ticktok_urls,instagram_urls,facebook_urls,youtube_urls,github_urls,linkedin_urls
cornucopias.io,https://cryptorank.io/ico/cornucopias,https://www.cornucopias.io/?utm_source=cryptorank,0.00365,0.0756,20.72,,https://twitter.com/cornucopiasgame,,,,https://www.facebook.com/cornucopiasgame/,https://www.youtube.com/c/CornucopiasGame,,
astraguild.io,https://cryptorank.io/ico/astra-guild-ventures,https://astraguild.io?utm_source=cryptorank,0.200,0.202,1.01,,https://twitter.com/astraguild,https://t.me/CryptoRankNews,,,https://www.facebook.com/AstraGuildVentures/,,,
happyland.finance,https://cryptorank.io/ico/happy-land,https://happyland.finance/?utm_source=cryptorank,0.07,0.390,5.58,,https://twitter.com/happyland_hpl,https://t.me/HappyLand_HPL,,,,,https://github.com/happyland-finance,
dehorizon.fun,https://cryptorank.io/ico/dehorizon,https://www.dehorizon.fun/?utm_source=cryptorank,0.600,1.65,2.75,,https://twitter.com/DeHorizonfun,,,,,,,https://www.linkedin.com/company/dehorizonfun
playarker.com,https://cryptorank.io/ico/arker,https://playarker.com/?utm_source=cryptorank,0.009,0.0513,5.7,,https://twitter.com/ArkerCommunity,https://t.me/ArkerCommunity,,,,,https://github.com/Arker-The-legend-of-Ohm,
99starz.io,https://cryptorank.io/ico/99-starz,http://99starz.io?utm_source=cryptorank,0.600,0.743,1.24,,https://twitter.com/99Starz_,https://t.me/Starz99STZ,,,,https://www.youtube.com/channel/UCn2gbAzVYdpzQd1UOphES0A,,
acy.finance,https://cryptorank.io/ico/acy-finance,https://acy.finance/?utm_source=cryptorank,0.200,0.146,0.73,,https://twitter.com/ACYFinance,https://t.me/acyfinance,,,,,https://github.com/ACY-Labs,https://www.linkedin.com/company/acy-finance/
cryptotanks.com,https://cryptorank.io/ico/cryptotanks,https://cryptotanks.com/?utm_source=cryptorank,0.07,0.108,1.54,,https://twitter.com/cryptotanksio,https://t.me/cryptotanksio,,,,,,
sipher.xyz,https://cryptorank.io/ico/sipher,https://www.sipher.xyz/?utm_source=cryptorank,0.360,1.06,2.93,,https://twitter.com/sipherxyz,https://t.me/CryptoRankNews,,,https://www.facebook.com/SIPHERxyz,https://www.youtube.com/channel/UCs8t-T2D2C2HIXt3VIKHz0A,,https://www.linkedin.com/company/sipherxyz/
humans.ai,https://cryptorank.io/ico/humans,https://humans.ai/?utm_source=cryptorank,0.015,0.196,13.04,,https://twitter.com/humansdotai,https://t.me/humansdotai,,,,,,
racefi.io,https://cryptorank.io/ico/racefi,https://racefi.io/?utm_source=cryptorank,0.125,0.472,3.78,,https://twitter.com/racefi_io,https://t.me/racefi_io,,,,https://www.youtube.com/watch?v=NZJgVs7hEgM,,
blockasset.co,https://cryptorank.io/ico/blockasset,https://blockasset.co?utm_source=cryptorank,0.078,0.368,4.72,,https://twitter.com/blockassetco,https://t.me/blockassetofficial,,,,,,
soldex.ai,https://cryptorank.io/ico/soldex,https://soldex.ai?utm_source=cryptorank,0.120,0.0611,0.51,,https://twitter.com/soldexai,https://t.me/soldexann,,,https://www.facebook.com/profile.php?id=100070128226771,,,
1sol.io,https://cryptorank.io/ico/1-sol,https://1sol.io?utm_source=cryptorank,0.380,1.08,2.84,,https://twitter.com/1solProtocol,https://t.me/onesolcommunity,,,,,https://github.com/1sol-io,
lastsurvivor.io,https://cryptorank.io/ico/last-survivor,https://lastsurvivor.io?utm_source=cryptorank,0.015,0.0308,2.06,,https://twitter.com/LastSurvivorM,https://t.me/lastsurvivorch,,,,https://www.youtube.com/channel/UCoT-qQctODwBkkqZpCR7kfw,,
monster-battle.games,https://cryptorank.io/ico/monster-battle,https://monster-battle.games/?utm_source=cryptorank,0.008,0.00287,0.36,,https://twitter.com/MonsterBattle1,https://t.me/MonsterBattle1,,,,,,
colonylab.io,https://cryptorank.io/ico/colony,https://colonylab.io/?utm_source=cryptorank,0.400,1.15,2.88,,https://twitter.com/Colonylab,https://t.me/colonyavax,,,,,,
sportium.fan,https://cryptorank.io/ico/sportium,https://sportium.fan?utm_source=cryptorank,0.03,0.675,22.52,,https://twitter.com/Sportium_Fan,https://t.me/SportiumOfficial,,,,,,
theatlantis.io,https://cryptorank.io/ico/atlantis-metaverse,https://www.theatlantis.io/?utm_source=cryptorank,0.120,0.192,1.6,,https://twitter.com/atlantis_TW,https://t.me/atlantismetaverse,,,https://www.facebook.com/atlantis.metaverse/,https://www.youtube.com/channel/UCgk_Xw58_S5uVmepnuFj1QQ,,
daoland.io,https://cryptorank.io/ico/dao-land,https://daoland.io?utm_source=cryptorank,0.140,0.219,: ,,https://twitter.com/daoland_io?,https://t.me/daoland?,,,,,,
quizarena.io,https://cryptorank.io/ico/quizarena,https://www.quizarena.io/?utm_source=cryptorank,0.0128,0.00786,0.61,,https://twitter.com/quizarenaio,https://t.me/quizarenachat,,,,,,
runnode.com,https://cryptorank.io/ico/runnode,https://runnode.com?utm_source=cryptorank,0.06,0.0957,1.59,,https://twitter.com/RunNode,https://t.me/runnode,,,,,,
rikkei.finance,https://cryptorank.io/ico/rikkei-finance,https://rikkei.finance/?utm_source=cryptorank,0.100,0.337,3.37,,https://twitter.com/RikkeiFinance,https://t.me/rikkeifinance,,,,,,
gogocoin.io,https://cryptorank.io/ico/gogo-coin,https://www.gogocoin.io?utm_source=cryptorank,0.262,0.238,: ,,https://twitter.com/GOGO_coin,https://t.me/gogo_coin,,,,,,
meland.ai,https://cryptorank.io/ico/meland,https://www.meland.ai/?utm_source=cryptorank,0.007,0.0225,3.22,,https://twitter.com/meland_ai,https://t.me/melandaiWorld,,,,,,
polygen.io,https://cryptorank.io/ico/polygen,https://www.polygen.io?utm_source=cryptorank,0.025,0.0319,1.28,,https://twitter.com/Polygen_io,https://t.me/polygen_launchpad,,,,,,
arcadenet.io,https://cryptorank.io/ico/arcadenetwork,https://www.arcadenet.io?utm_source=cryptorank,0.06,0.0622,1.04,,https://twitter.com/ArcadeNetwork_,https://t.me/ArcadeNetworkAnnounce,,,https://www.facebook.com/ArcadeNetwork-104703925202276,https://www.youtube.com/channel/UCizHGvEtXpbXl2swvafFsiQ,,
sheesha.finance,https://cryptorank.io/ico/sheesha-finance-dao,https://sheesha.finance/?utm_source=cryptorank,0.02,0.0407,2.04,,https://twitter.com/SheeshaFinance_,https://t.me/Sheesha_Finance,,,,,,https://www.linkedin.com/company/sheeshafinance
monkeyball.com,https://cryptorank.io/ico/monkey-ball,https://www.monkeyball.com?utm_source=cryptorank,0.04,1.39,34.86,https://discord.gg/ubhDR2F5Kf,https://twitter.com/monkeyballgame,https://t.me/monkeyball_game,,,,,,
dexbrowser.com,https://cryptorank.io/ico/dexbrowser,https://www.dexbrowser.com/?utm_source=cryptorank,0.05,0.023,0.46,,https://twitter.com/dexbrowser,https://t.me/dexbrowserofficial,,,,,,
solchicks.io,https://cryptorank.io/ico/solchicks,https://www.solchicks.io?utm_source=cryptorank,0.05,0.156,3.13,,https://twitter.com/SolChicksNFT,https://t.me/solchicksnft,,,https://www.facebook.com/solchicksofficial/,,,
12legions.io,https://cryptorank.io/ico/12-legions,https://www.12legions.io?utm_source=cryptorank,0.025,0.0813,3.25,,https://twitter.com/12LegionsIO,https://t.me/TwelveLegions,,,https://www.facebook.com/12LegionsIO/,https://www.youtube.com/channel/UCd3litR79SVnD51A5nVdtAg,,
pathdao.io,https://cryptorank.io/ico/path-dao,https://pathdao.io?utm_source=cryptorank,0.015,0.0967,6.45,,https://twitter.com/PathDAO,https://t.me/pathdaoofficial,,,,,,
kryxivia.io,https://cryptorank.io/ico/kryxivia,https://kryxivia.io/?utm_source=cryptorank,0.015,0.0524,3.5,,https://twitter.com/kryxivia,https://t.me/kryxivia,,,,,,https://www.linkedin.com/company/kryxivia
creaticles.com,https://cryptorank.io/ico/creaticles,https://creaticles.com/?utm_source=cryptorank,0.095,0.0282,0.3,,https://twitter.com/creaticles,https://t.me/creaticlesofficial,,,,,https://github.com/CreaticlesOfficial,
wicrypt.com,https://cryptorank.io/ico/wicrypt,https://wicrypt.com/?utm_source=cryptorank,0.376,0.113,: ,,https://twitter.com/wicrypt,https://t.me/wicrypt,,,,,,
attackwagon.com,https://cryptorank.io/ico/attack-wagon,https://attackwagon.com/?utm_source=cryptorank,0.025,0.0321,1.28,,https://twitter.com/theattackwagon,https://t.me/attackwagon,,,,,,
symbiosis.finance,https://cryptorank.io/ico/symbiosis-finance,https://symbiosis.finance?utm_source=cryptorank,0.800,3.21,4.02,,https://twitter.com/symbiosis_fi,https://t.me/symbiosis_finance,,,,,https://github.com/symbiosis-finance,
btl.bitlocus.com,https://cryptorank.io/ico/bitlocus,https://btl.bitlocus.com/?utm_source=cryptorank,0.02,0.102,5.12,,https://twitter.com/bitlocus,https://t.me/bitlocus_official,,,,,,
zodium.io,https://cryptorank.io/ico/zodium,https://www.zodium.io?utm_source=cryptorank,0.08,0.178,2.22,,https://twitter.com/zodium,https://t.me/CryptoRankNews,,,,,,
tab-trader.com,https://cryptorank.io/ico/tabtrader,https://tab-trader.com?utm_source=cryptorank,0.100,0.131,1.31,,https://twitter.com/tabtraderpro,https://t.me/tabtrader_en,,,,,,
moo-monster.com,https://cryptorank.io/ico/moo-monster,https://moo-monster.com/?utm_source=cryptorank,0.06,0.234,3.89,,https://twitter.com/MooMonsterNFT,https://t.me/moomonster_community_inter,,,https://www.facebook.com/TheMooMonster,https://www.youtube.com/c/moomonster,,
canoncrypto.io,https://cryptorank.io/ico/cato,https://canoncrypto.io?utm_source=cryptorank,0.05,0.0548,1.1,,https://twitter.com/CATO_Gamefi,https://t.me/Canoncryptoclub,,,,,,
zomfi.org,https://cryptorank.io/ico/zomfi,https://www.zomfi.org?utm_source=cryptorank,0.05,0.0513,1.03,,https://twitter.com/Zomfitoken,https://t.me/zomfitokengroup,,,,https://www.youtube.com/channel/UCBrHwlmS_kjIKKPZxDgpolA,,
operonorigins.com,https://cryptorank.io/ico/operon-origins,https://operonorigins.com/?utm_source=cryptorank,0.100,0.182,1.82,,https://twitter.com/OperonOrigins,https://t.me/operonorigins,,,,,,
fintropy.io,https://cryptorank.io/ico/fintropy,https://fintropy.io/?utm_source=cryptorank,0.200,0.0603,0.3,,https://twitter.com/fintropy,https://t.me/fintropy,,,,,,
biconomy.io,https://cryptorank.io/ico/biconomy,https://www.biconomy.io?utm_source=cryptorank,0.300,4.01,13.38,,https://twitter.com/biconomy,https://t.me/biconomy,,,,,,
santosfc.com.br,https://cryptorank.io/ico/santos-fc-fan-token,https://www.santosfc.com.br?utm_source=cryptorank,2.5,3.38,1.35,,https://twitter.com/SantosFC,https://t.me/CryptoRankNews,,,https://www.facebook.com/santosfc,https://www.youtube.com/santosfc,,
spintop.network,https://cryptorank.io/ico/spintop,https://spintop.network?utm_source=cryptorank,0.01,0.384,38.42,,https://twitter.com/SpintopNetwork,https://t.me/SpintopNetwork,,,,,,
shopnext.io,https://cryptorank.io/ico/shopnext,https://shopnext.io/?utm_source=cryptorank,0.015,0.107,7.15,,https://twitter.com/HelloShopNEXT,https://t.me/shopnext_chat/,,,https://www.facebook.com/hello.shopnext,,,https://www.linkedin.com/company/shopnext
modadao.io,https://cryptorank.io/ico/moda-dao,https://www.modadao.io/?utm_source=cryptorank,6,4.64,0.77,,https://twitter.com/moda_dao,https://t.me/modadao,,,,https://www.youtube.com/channel/UC63XBChEGSp8i3U_I78cfWw,,
doragonland.io,https://cryptorank.io/ico/doragonland,https://www.doragonland.io/?utm_source=cryptorank,0.02,0.03,1.5,,https://twitter.com/DoragonLand_DOR,https://t.me/doragonlandglobal,,,,,,
dopewarz.io,https://cryptorank.io/ico/dopewarz,https://dopewarz.io/?utm_source=cryptorank,0.03,0.0282,0.94,,https://twitter.com/dopewarzcrypto,https://t.me/dopewarz,,,,,,
polygonum.online,https://cryptorank.io/ico/polygonum-online,https://polygonum.online?utm_source=cryptorank,0.08,0.325,4.06,,https://twitter.com/PolygonumOnline/,https://t.me/PolygonumOnlineChat,,,,https://www.youtube.com/c/PolygonumOnline,,
xhashtag.io,https://cryptorank.io/ico/xhashtag,https://www.xhashtag.io/?utm_source=cryptorank,0.250,0.798,3.19,,https://twitter.com/xhashtagio,https://t.me/xhashtagio,,,,,,
wingswap.io,https://cryptorank.io/ico/wingswap,https://wingswap.io/?utm_source=cryptorank,0.02,0.053,2.65,,https://twitter.com/WingSwapFTM,https://t.me/WingSwapFTM,,,,,https://github.com/WingSwap,
metagame-arena.io,https://cryptorank.io/ico/prometheus,https://metagame-arena.io/#/?utm_source=cryptorank,0.700,1.03,1.47,,https://twitter.com/PromethMetagame,https://t.me/prometheus_mga,,,,,,
